algorithm,dataset_type,filename,input_size,threads,run_number,execution_time_ms,memory_usage_kb,comparison_count
mergesort_seq,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,1,329.588,95376,101015064
mergesort_seq,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,2,305.967,94112,101015064
mergesort_seq,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,3,320.062,91232,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,1,307.318,94304,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,2,301.592,94112,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,3,300.272,94112,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,2,1,317.099,95216,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,2,2,329.051,110000,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,2,3,321.301,112704,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,4,1,182.652,94320,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,4,2,186.599,113824,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,4,3,182.128,94256,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,8,1,252.142,115072,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,8,2,253.284,113936,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,8,3,253.542,119392,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,16,1,245.515,102496,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,16,2,247.115,103360,101015064
mergesort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,16,3,251.893,114640,101015064
quicksort_seq,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,1,94.168,74384,127071168
quicksort_seq,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,2,95.094,74368,127071168
quicksort_seq,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,3,93.822,74384,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,1,94.522,74368,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,2,109.433,74384,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,1,3,94.773,74384,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,2,1,91.657,74400,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,2,2,92.361,74416,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,2,3,93.817,74400,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,4,1,66.760,74432,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,4,2,69.897,74432,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,4,3,67.659,74432,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,8,1,62.011,74464,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,8,2,61.676,74464,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,8,3,61.121,74464,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,16,1,89.604,74512,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,16,2,91.704,74528,127071168
quicksort_par,repeated_values,repeated_values-input-5000000-1-float.txt,5000000,16,3,110.590,74512,127071168
mergesort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,1,547.178,94112,105051009
mergesort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,2,547.987,94112,105051009
mergesort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,3,615.366,94448,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,1,541.539,94112,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,2,545.389,94112,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,3,543.346,94128,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,2,1,406.538,112736,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,2,2,386.351,112384,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,2,3,394.118,112928,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,4,1,233.032,113248,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,4,2,255.475,130976,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,4,3,234.251,125696,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,8,1,299.992,122400,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,8,2,298.820,118112,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,8,3,289.931,119776,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,16,1,288.081,123520,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,16,2,301.123,122512,105051009
mergesort_par,uniform,uniform-input-5000000-1-float.txt,5000000,16,3,290.367,127856,105051009
quicksort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,1,379.048,74384,134081557
quicksort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,2,377.848,74384,134081557
quicksort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,3,378.399,74384,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,1,380.442,74368,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,2,381.512,74384,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,3,397.659,74384,134081557
